month,product_group_id,product_group_name,market_revenue,revenue_amazon
2025-01-01,1,Portable Computers,14646984704.0,3092346368.0
2025-02-01,1,Portable Computers,10939237376.0,3494627072.0
2025-03-01,1,Portable Computers,13945970688.0,3352069888.0
2025-04-01,1,Portable Computers,9609227264.0,2906402048.0
2025-05-01,1,Portable Computers,13677457408.0,3485942784.0
2025-06-01,1,Portable Computers,13253672960.0,2996934400.0
2025-07-01,1,Portable Computers,12878286848.0,3131138560.0
2025-08-01,1,Portable Computers,12677379072.0,3129814784.0
2025-09-01,1,Portable Computers,11957949440.0,3043623680.0
2025-10-01,1,Portable Computers,12045400064.0,2934116864.0
2025-11-01,1,Portable Computers,13063457792.0,3240062976.0
2025-12-01,1,Portable Computers,11149014016.0,2800811264.0
2025-01-01,2,Cooling Systems,5744028160.0,451970496.0
2025-02-01,2,Cooling Systems,6491113984.0,521248992.0
2025-03-01,2,Cooling Systems,5964021248.0,594063424.0
2025-04-01,2,Cooling Systems,6414005248.0,609239232.0
2025-05-01,2,Cooling Systems,6568381440.0,655378368.0
2025-06-01,2,Cooling Systems,6711989760.0,607020160.0
2025-07-01,2,Cooling Systems,5606884352.0,593930048.0
2025-08-01,2,Cooling Systems,6117597696.0,608408512.0
2025-09-01,2,Cooling Systems,6402548736.0,592920384.0
2025-10-01,2,Cooling Systems,6042921984.0,612287616.0
2025-11-01,2,Cooling Systems,6202374656.0,613399808.0
2025-12-01,2,Cooling Systems,6323684352.0,546236096.0
2025-01-01,3,Frozen Storage Units,1758928256.0,149040112.0
2025-02-01,3,Frozen Storage Units,1608693248.0,150013168.0
2025-03-01,3,Frozen Storage Units,1811587712.0,154873104.0
2025-04-01,3,Frozen Storage Units,1610485248.0,154862816.0
2025-05-01,3,Frozen Storage Units,1815495040.0,160305648.0
2025-06-01,3,Frozen Storage Units,1796104448.0,164942240.0
2025-07-01,3,Frozen Storage Units,1708939904.0,170190992.0
2025-08-01,3,Frozen Storage Units,1392484864.0,168265136.0
2025-09-01,3,Frozen Storage Units,1413055104.0,163436736.0
2025-10-01,3,Frozen Storage Units,1364404224.0,139184240.0
2025-11-01,3,Frozen Storage Units,1568109568.0,129699440.0
2025-12-01,3,Frozen Storage Units,1375039744.0,131839904.0
2025-01-01,4,Laundry Machines,5797273088.0,531786176.0
2025-02-01,4,Laundry Machines,6425532928.0,556318144.0
2025-03-01,4,Laundry Machines,7159113216.0,611410432.0
2025-04-01,4,Laundry Machines,7454338048.0,534886976.0
