date,category_id,category_title,revenue
2025-03-01,1,Wine,144309936.0
2025-04-01,1,Wine,144339152.0
2025-05-01,1,Wine,127848496.0
2025-06-01,1,Wine,136130816.0
2025-07-01,1,Wine,147300768.0
2025-08-01,1,Wine,142792480.0
2025-09-01,1,Wine,148534832.0
2025-10-01,1,Wine,160079744.0
2025-11-01,1,Wine,130524640.0
2025-12-01,1,Wine,126904480.0
2026-01-01,1,Wine,134341440.0
2026-02-01,1,Wine,149811904.0
2026-03-01,1,Wine,144129152.0
2026-04-01,1,Wine,137376736.0
2026-05-01,1,Wine,126665832.0
2026-06-01,1,Wine,144156672.0
2026-07-01,1,Wine,143301840.0
2026-08-01,1,Wine,144608768.0
2025-03-01,2,Champagne & Sparkling Wine,188174960.0
2025-04-01,2,Champagne & Sparkling Wine,173007008.0
2025-05-01,2,Champagne & Sparkling Wine,153317344.0
2025-06-01,2,Champagne & Sparkling Wine,170052608.0
2025-07-01,2,Champagne & Sparkling Wine,184567728.0
2025-08-01,2,Champagne & Sparkling Wine,175547712.0
2025-09-01,2,Champagne & Sparkling Wine,174906144.0
2025-10-01,2,Champagne & Sparkling Wine,171119760.0
2025-11-01,2,Champagne & Sparkling Wine,175062496.0
2025-12-01,2,Champagne & Sparkling Wine,182456032.0
2026-01-01,2,Champagne & Sparkling Wine,180648224.0
2026-02-01,2,Champagne & Sparkling Wine,180929344.0
2026-03-01,2,Champagne & Sparkling Wine,184044544.0
2026-04-01,2,Champagne & Sparkling Wine,166074992.0
2026-05-01,2,Champagne & Sparkling Wine,172280768.0
2026-06-01,2,Champagne & Sparkling Wine,174019680.0
2026-07-01,2,Champagne & Sparkling Wine,178168368.0
2026-08-01,2,Champagne & Sparkling Wine,182045440.0
2025-03-01,3,Whiskey,549810560.0
2025-04-01,3,Whiskey,624233408.0
2025-05-01,3,Whiskey,561630720.0
2025-06-01,3,Whiskey,539579008.0
2025-07-01,3,Whiskey,562056832.0
2025-08-01,3,Whiskey,595058816.0
2025-09-01,3,Whiskey,574874752.0
2025-10-01,3,Whiskey,607889472.0
2025-11-01,3,Whiskey,627306880.0
2025-12-01,3,Whiskey,625129152.0
2026-01-01,3,Whiskey,618218816.0
2026-02-01,3,Whiskey,627730944.0
2026-03-01,3,Whiskey,624707072.0
2026-04-01,3,Whiskey,584469952.0
2026-05-01,3,Whiskey,560977920.0
2026-06-01,3,Whiskey,591751616.0
2026-07-01,3,Whiskey,550134592.0
2026-08-01,3,Whiskey,597909760.0
2025-03-01,4,Cognac & Brandy,101935544.0
2025-04-01,4,Cognac & Brandy,87242960.0
2025-05-01,4,Cognac & Brandy,102991944.0
2025-06-01,4,Cognac & Brandy,103078040.0
2025-07-01,4,Cognac & Brandy,97251096.0
2025-08-01,4,Cognac & Brandy,101510552.0
2025-09-01,4,Cognac & Brandy,102710544.0
2025-10-01,4,Cognac & Brandy,103352864.0
2025-11-01,4,Cognac & Brandy,100766128.0
2025-12-01,4,Cognac & Brandy,105243224.0
2026-01-01,4,Cognac & Brandy,100588184.0
2026-02-01,4,Cognac & Brandy,104323408.0
2026-03-01,4,Cognac & Brandy,103331680.0
2026-04-01,4,Cognac & Brandy,104467632.0
2026-05-01,4,Cognac & Brandy,116567872.0
2026-06-01,4,Cognac & Brandy,114487912.0
2026-07-01,4,Cognac & Brandy,104267992.0
2026-08-01,4,Cognac & Brandy,107036360.0
2025-03-01,5,Vodka,103101608.0
2025-04-01,5,Vodka,105385176.0
2025-05-01,5,Vodka,107529336.0
2025-06-01,5,Vodka,109156680.0
2025-07-01,5,Vodka,101866328.0
2025-08-01,5,Vodka,103304304.0
2025-09-01,5,Vodka,106477320.0
2025-10-01,5,Vodka,110934152.0
2025-11-01,5,Vodka,117863600.0
2025-12-01,5,Vodka,108716056.0
2026-01-01,5,Vodka,117152896.0
2026-02-01,5,Vodka,119205912.0
2026-03-01,5,Vodka,114761144.0
2026-04-01,5,Vodka,116662040.0
2026-05-01,5,Vodka,120900584.0
2026-06-01,5,Vodka,118588632.0
2026-07-01,5,Vodka,111916432.0
2026-08-01,5,Vodka,113714712.0
